466,2,2,2,"1AFMBM","TCHR","AINF","MZW1",,0,2.33400,,,,"20190909","20200712",0.00920,,,,,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,"AINF_1AFMBM",,,,0,
466,2,0,2,"1AFMBM","TCHR","AINF","MZW2",,0,2.33400,,,,"20190909","20200712",0.00920,,,,,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,"AINF_1AFMBM",,,,0,
580,3,3,3,"1AFMBM","TCHR","KOP1","CAD1",,0,3.50100,,,,"20190909","20200712",0.01400,,,,,,,"aBn",,,,,,3,,,,0,0,,0,0,,300000,3.00000,"KOP1_1AFMBM",,,,0,
580,3,0,3,"1AFMBM","TCHR","KOP1","CAD1",,0,3.50100,,,,"20190909","20200712",0.01400,,,,,,,"aBn",,,,,,3,,,,0,0,,0,0,,300000,3.00000,"KOP1_1AFMBM",,,,0,
545,2,2,2,"1AFMBM","TCHR","MME","R001",,0,2.33400,,,,"20190909","20200712",0.00920,,,"R001",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
1412,8,8,8,"1AFMBM","TCHR","FET1WP_4","GLB1",,0,1.81820,,,,"20190909","20191117",0.00800,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,181818,1.81818,"FET1WP_4_1AFMBM_REIE",,,,0,
1412,8,0,8,"1AFMBM","TCHR","FET1WP_4","DRE1",,0,1.66000,,,,"20190909","20191117",0.00730,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,181818,1.81818,"FET1WP_4_1AFMBM_HEMR",,,,0,
1412,8,0,8,"1AFMBM","TCHR","FET1WP_4","SMI",,0,1.66000,,,,"20190909","20191117",0.00730,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,181818,1.81818,"FET1WP_4_1AFMBM_ORNK",,,,0,
1412,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLFR",,0,1.66000,,,,"20190909","20191117",0.00730,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,181818,1.81818,"FET1WP_4_1AFMBM_KROA",,,,0,
1414,8,8,8,"1AFMBM","TCHR","FET1WP_4","GLFR",,0,1.49400,,,,"20191118","20200119",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_KROA",,,,0,
1414,8,0,8,"1AFMBM","TCHR","FET1WP_4","DRE1",,0,1.49400,,,,"20191118","20200119",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_HEMR",,,,0,
1414,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLBL",,0,1.49400,,,,"20191118","20200119",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_SOBA",,,,0,
1414,8,0,8,"1AFMBM","TCHR","FET1WP_4","SMI",,0,1.49400,,,,"20191118","20200119",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_ORNK",,,,0,
1416,8,8,8,"1AFMBM","TCHR","FET1WP_4","GLB1",,0,1.32800,,,,"20200120","20200315",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_SOBA",,,,0,
1416,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLFR",,0,1.32800,,,,"20200120","20200315",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_KROA",,,,0,
1416,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLBL",,0,1.45450,,,,"20200120","20200315",0.00560,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_EGGD",,,,0,
1416,8,0,8,"1AFMBM","TCHR","FET1WP_4","SMI",,0,1.32800,,,,"20200120","20200315",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_ORNK",,,,0,
1418,8,8,8,"1AFMBM","TCHR","FET1WP_4","GLB1",,0,1.32800,,,,"20200316","20200510",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_SOBA",,,,0,
1418,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLBL",,0,1.45450,,,,"20200316","20200510",0.00560,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_EGGD",,,,0,
1418,8,0,8,"1AFMBM","TCHR","FET1WP_4","SMI",,0,1.32800,,,,"20200316","20200510",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_ORNK",,,,0,
1418,8,0,8,"1AFMBM","TCHR","FET1WP_4","DRE1",,0,1.32800,,,,"20200316","20200510",0.00511,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,145454,1.45454,"FET1WP_4_1AFMBM_HOFP",,,,0,
1410,8,8,8,"1AFMBM","TCHR","FET1WP_4","GLB1",,0,1.49400,,,,"20200511","20200712",0.00657,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_SOBA",,,,0,
1410,8,0,8,"1AFMBM","TCHR","FET1WP_4","DRE1",,0,1.49400,,,,"20200511","20200712",0.00657,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_HOFP",,,,0,
1410,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLBL",,0,1.63640,,,,"20200511","20200712",0.00720,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_EGGD",,,,0,
1410,8,0,8,"1AFMBM","TCHR","FET1WP_4","GLFR",,0,1.49400,,,,"20200511","20200712",0.00657,,,,,,,"aBn",,,,,,5,,,,0,0,,3,0,,163636,1.63636,"FET1WP_4_1AFMBM_HEMR",,,,0,
29,3,3,3,"1AFMBM","TCHR","FET1_1","R001",,0,3.50100,,,,"20190909","20200712",0.01400,,,"R001",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
222,1,1,1,"2AFMBM","TCHR","ORD",,"c",0,0.00000,,,,"20190909","20200712",0.00000,,,,,,,"In",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
1318,1,1,1,"2AFMBM","TCHR","RK","R001",,0,1.05000,,,,"20190909","20200712",0.00400,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,"RK_2AFMBM",,,,0,
1220,1,1,1,"2AFMBM","TCHR","RK","R204",,0,1.05000,,,,"20190909","20200712",0.00400,,,,,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,"RK_2AFMBM",,,,0,
1220,1,0,1,"2AFMBM","TCHR","RISL","R202",,0,1.00000,,,,"20190909","20200712",0.00400,,,,,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,"RISL_2AFMBM2AHGTI",,,,0,
1220,1,1,0,"2AHGTI","TCHR","RISL","R202",,0,1.00000,,,,"20190909","20200712",0.00400,,,,,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,"RISL_2AFMBM2AHGTI",,,,0,
1220,1,0,1,"2AHGTI","TCHR","RK","R111",,0,1.05000,,,,"20190909","20200712",0.00400,,,"R111",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,"RK_2AHGTI",,,,0,
1500,1,1,1,"2AFMBM","TCHR","DUK","R003",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
1502,1,1,1,"2AFMBM","TCHR","DUK","R314",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
35,1,1,1,"2AFMBM","TCHR","DUK","R001",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
1494,1,1,1,"2AFMBM","TCHR","E1","R003",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
36,1,1,1,"2AFMBM","TCHR","E1","R204",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
587,1,1,1,"2AFMBM","TCHR","GGP","R001",,0,0.26250,,,,"20190909","20191124",0.00110,"Geblockt, Randstunde",,,,,,"aBnR",,,,,,,,,,0,0,,,,"GWK",25000,0.25000,,,,,0,
541,1,1,1,"2AFMBM","TCHR","GGP","R001",,0,0.28640,,,,"20191125","20200216",0.00100,"Geblockt, Randstunde",,,,,,"aBnR",,,,,,,,,,0,0,,,,"GSK",27272,0.27272,,,,,0,
754,1,1,1,"2AFMBM","TCHR","GGP","R001",,0,0.23860,,,,"20200217","20200426",0.00080,"Geblockt, Randstunde",,,,,,"aBnR",,,,,,,,,,0,0,,,,"GWK",22727,0.22727,,,,,0,
755,1,1,1,"2AFMBM","TCHR","GGP","R001",,0,0.26250,,,,"20200427","20200712",0.00110,"Geblockt, Randstunde",,,,,,"aBnR",,,,,,,,,,0,0,,,,"GSK",25000,0.25000,,,,,0,
810,2,2,2,"2AFMBM","TCHR","BESP","TS",,0,1.91000,,,,"20190909","20200712",0.00760,,,,,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,0,
1496,1,1,1,"2AFMBM","TCHR","AM","R003",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
40,1,1,1,"2AFMBM","TCHR","AM","R204",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
1498,1,1,1,"2AFMBM","TCHR","UNF","R314",,0,1.10500,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
547,1,1,1,"2AFMBM","TCHR","UNF","R204",,0,1.10500,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
277,3,3,3,"2AFMBM","TCHR","KOP1","CAD2",,0,3.50100,,,,"20190909","20200712",0.01400,,,,,,,"n",,,,,,3,,,,0,0,,0,0,,300000,3.00000,"KOP1_2AFMBM",,,,0,
277,3,0,3,"2AFMBM","TCHR","KOP1","CAD2",,0,3.50100,,,,"20190909","20200712",0.01400,,,,,,,"n",,,,,,3,,,,0,0,,0,0,,300000,3.00000,"KOP1_2AFMBM",,,,0,
1488,1,1,1,"2AFMBM","TCHR","MME","R003",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
1490,1,1,1,"2AFMBM","TCHR","MME","R314",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
546,1,1,1,"2AFMBM","TCHR","MME","R204",,0,1.16700,,,,"20190909","20200712",0.00440,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
1539,9,9,9,"2AFMBM","TCHR","FET1WP_4","SCHW",,0,1.12050,,,,"20190909","20191020",0.00492,,,,,,,"Bn",,,,,,5,,,,0,0,,4,0,,122727,1.22727,"FET1WP_4_2AFMBM_TREJ",,,,0,
1539,9,0,9,"2AFMBM","TCHR","FET1WP_4","KST1",,0,1.12050,,,,"20190909","20191020",0.00492,,,,,,,"Bn",,,,,,5,,,,0,0,,4,0,,122727,1.22727,"FET1WP_4_2AFMBM_KLEG",,,,0,
1539,9,0,9,"2AFMBM","TCHR","FET1WP_4","MSLA~DRE2",,0,1.12050,,,,"20190909","20191020",0.00492,,,,,,,"Bn",,,,,,5,,,,0,0,,4,0,,122727,1.22727,"FET1WP_4_2AFMBM_STAR",,,,0,
1382,9,9,9,"2AFMBM","TCHR","FET1WP_4","SCHW",,0,2.61450,,,,"20191021","20200126",0.00984,,,,,,,"Bn",,,,,,5,,,,0,0,,4,0,,286363,2.86363,"FET1WP_4_2AFMBM_TREJ",,,,0,
1382,9,0,9,"2AFMBM","TCHR","FET1WP_4","KST1",,0,2.61450,,,,"20191021","20200126",0.00984,,,,,,,"Bn",,,,,,5,,,,0,0,,4,0,,286363,2.86363,"FET1WP_4_2AFMBM_KLEG",,,,0,
1382,9,0,9,"2AFMBM","TCHR","FET1WP_4","MSLA~DRE2",,0,2.61450,,,,"20191021","20200126",0.00984,,,,,,,"Bn",,,,,,5,,,,0,0,,4,0,,286363,2.86363,"FET1WP_4_2AFMBM_HOFJ",,,,0,
